"Cannot add the item to shopping cart.","Bạn không thể thêm sản phẩm này vào giỏ hàng."
"Cannot apply the coupon code.","Bạn không thể áp dụng mã coupon này."
"Cannot configure product.","Bạn không thể cấu hình sản phẩm này."
"Cannot open the overview page","Không thể mở trang xem qua"
"Cannot process the item.","Không thể sử lý sảm phẩm này."
"Cannot remove the item.","Không thể bỏ sản phẩm này."
"Cannot update shopping cart.","Không thể nâng cấp giỏi hàng."
"Cannot update the item.","Không thể nâp cấp sản phẩm."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Tổng:"
"Change","Đổi"
"Change Billing Address","Đổi địa chỉ hóa đơn"
"Checkbox Text","Ô điều kiện"
"Checkout", "Thanh toán"
"Checkout Conditions","Điều kiện thanh toán"
"Checkout Method","Phương thức thanh toán"
"Checkout Options","Tùy chọn thanh toán"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Phần thanh toán"
"Checkout Terms and Conditions","Điều khoản thanh toán"
"Checkout as Guest","Thanh toán bằng tài khoản khách"
"Checkout as a Guest or Register","Thanh toán bằng tài khoản khách hoặc đăng ký để thanh toán"
"Checkout with Multiple Addresses","Thanh toán bằng nhiều địa chỉ"
"City","Quận/Huyện"
"Clear Shopping Cart","Xóa giỏ hàng"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Nhấn <a href=""%s"" onclick=""this.target=\'_blank\'"">để in</a> một bản sao của đơn hàng."
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Click vào đây</a> để tiếp tục mua hàng."
"Close","Đóng"
"Company","Tên đơn vị"
"Condition Name","Tên điều kiện"
"Configurable Product Image","Configurable Product Image"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Nhập lại mật khẩu"
"Content","Nội dung"
"Content Height","Chiều cao nội dung"
"Content Height (css)","Chiều cao nội dung (css)"
"Continue","Tiếp tục"
"Continue Shopping","Tiếp tục mua hàng"
"Continue to Billing Information","Tiếp tục đến thông tin hóa đơn"
"Continue to Review Your Order","Tiếp tục để kiểm tra lại đơn hàng"
"Continue to Shipping Information","Tiếp tục đến thông tin giao hàng"
"Country","Quốc gia"
"Coupon code ""%s"" is not valid.","Mã giảm giá ""%s"" không hợp lệ."
"Coupon code ""%s"" was applied.","Mã giảm giá ""%s"" hợp lệ."
"Coupon code was canceled.","Đã hủy sử dụng mã giảm giá."
"Create Billing Address","Tạo địa chỉ thanh toán"
"Create Shipping Address","Tạo địa chỉ nhận hàng"
"Create an order from shopping cart","Tạo một hóa đơn từ giỏ hàng"
"Create shopping cart","Tạo giỏ hàng"
"Customer Address is not valid.","Địa chỉ khách hàng không hợp lệ."
"Customer Information","Thông tin khách hàng"
"Customer's information","Thông tin khách hàng"
"Data saving problem","Có lỗi khi lưu dữ liệu"
"Default Billing","Địa chỉ thanh toán mặc định"
"Default Shipping","Địa chỉ nhận hàng mặc định"
"Delete Condition","Xóa điều kiện"
"Details","Chi tiết"
"Disabled","Vô hiệu"
"Discount Codes","Mã giảm giá"
"Display Cart Summary","Hiển thị tổng sản phẩm ở giỏ hàng"
"Display Shopping Cart Sidebar","Hiển thị box giỏ hàng"
"Display item quantities","Hiển thị số lượng sản phẩm"
"Display number of items in cart","Hiển thị số sản phẩm trong giỏ hàng"
"Display number of items in wishlist","Hiển thị số sản phẩm trong Sản phẩm yêu thích"
"Easy access to your order history and status","Theo dõi được trạng thái đơn hàng và tích lũy điểm thưởng"
"Edit","Sửa"
"Edit Address","Sửa địa chỉ"
"Edit Billing Address","Sửa địa chỉ thanh toán"
"Edit Condition","Chỉnh sửa điều kiện"
"Edit Items","Sửa thông tin"
"Edit Shipping Address","Sửa địa chỉ nhận hàng"
"Edit Terms and Conditions","Sửa điều khoản thanh toán"
"Edit Your Cart","Sửa giỏ hàng"
"Edit item","Sửa thông tin"
"Edit item parameters","Xóa tham số sản phẩm"
"Email Address","Địa chỉ email"
"Enable Onepage Checkout","Cho phép thanh toán nhanh"
"Enable Terms and Conditions","Bật điều khoản và điều kiện"
"Enabled","Hiệu lực"
"Enter a New Address","Nhập địa chỉ mới"
"Enter your coupon code if you have one.","Nhập mã giảm giá của bạn."
"Enter your destination to get a shipping estimate.","Bạn nhập thông tin đầy đủ để xem thuế và phí giao hàng cho đơn hàng này."
"Estimate Shipping and Tax","Ước tính thuế và phí giao hàng"
"Excl. Tax","Không thuế"
"Fast and easy check out","Thanh toán nhanh cho lần mua hàng sau"
"Fax","Fax"
"Forgot an Item?","Bạn muốn thay đổi sản phẩm?"
"Forgot your password?","Tìm lại mật khẩu."
"Get a Quote","Yêu cầu báo giá"
"Get list of available payment methods","Get list of available payment methods"
"Get list of available shipping methods","Get list of available shipping methods"
"Get list of products in shopping cart","Get list of products in shopping cart"
"Get terms and conditions","Nhận điều khoản và điều kiện"
"Get total prices for shopping cart","Tính tổng số tiền trong giỏ hàng"
"Gift Message","Thông báo quà tặng"
"Grand Total:","Tổng tiền:"
"Grouped Product Image","Grouped Product Image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Có thuế"
"Invalid checkout type.","Kiểu thanh toán không hợp lệ."
"Invalid data.","Dữ liệu không hợp lệ."
"Invalid email address ""%s""","Địa chỉ email không hợp lệ""%s"""
"Invalid method: %s","Phương thức không hợp lệ: %s"
"Invalid shipping method.","Phương thức giao hàng không hợp lệ."
"Item not found or already ordered","Sản phẩm không tìm thấy hoặc đã được đặt"
"Items","Sản phẩm"
"Items After","Sản phẩm còn lại"
"Items Before","Sản phẩm chưa bán"
"Load customer quote error","Gặp lỗi khi tải trích dẫn của khách hàng"
"Loading next step...","Đang xử lý dữ liệu để qua bước sau..."
"Login","Đăng nhập"
"Login/Registration Before","Đăng nhậ/Đăng ký sau"
"Manage Terms and Conditions","Quản lý điều khoản thanh toán"
"Maximum Display Recently Added Item(s)","Hiển thị tối số sản phẩm đã chọn(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Số lượng tối đa cho phép đối với giao hàng đến nhiều địa chỉ là %s"
"Move to Wishlist","Thích sản phẩm này"
"Multishipping Checkout","Thanh toán với nhiều nơi giao hàng"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Overview","Multishipping Checkout Overview"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Shipping Address Selection","Multishipping Checkout Shipping Address Selection"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Shipping Information Step"
"Multishipping Checkout Success","Multishipping Checkout Success"
"My Cart","Giỏ hàng"
"My Cart (%s item)","Giỏ hàng (%s)"
"My Cart (%s items)","Giỏ hàng (%s)"
"My Cart Link","Giỏ hàng của tôi"
"New Address","Địa chỉ mới"
"New Condition","Điều kiện mới"
"New Terms and Conditions","Điều khoản thanh toán"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","TỔN ĐƠN HÀNG SẼ HIỂN THỊ TRƯỚC KHI ĐÔNG Ý THANH TOÁN"
"One Page Checkout","Thanh toán nhanh"
"One Page Checkout Failure","One Page Checkout Failure"
"One Page Checkout Overview","One Page Checkout Overview"
"One Page Checkout Success","One Page Checkout Success"
"One item of products do not have identifier or sku","One item of products do not have identifier or sku"
"One item of products is not belong any of quote item","One item of products is not belong any of quote item"
"Order #","Đơn hàng số: "
"Order Review","Xem đơn hàng"
"Order Success","Đặt hàng thành công"
"Order place error.","Nơi đặt hàng bị lỗi
"Other Items in Your Order","Sản phẩm khác trong hóa đơn của bạn"
"Overview Items After","Xem qua sản phẩm sau khi"
"Password","Mật khẩu"
"Payment Failed Email Reciever","Email người nhận thông báo lỗi"
"Payment Failed Email Sender","Email người gửi thông báo lỗi"
"Payment Failed Emails","Email nhận thanh toán lỗi"
"Payment Failed Template","Giao diện thông báo"
"Payment Information","Thông tin thanh toán"
"Payment Method","Cách thanh toán"
"Payment Methods After Checkout Button","Hiển thị phương thức thanh toán sau nút thanh toán"
"Payment Methods Before Checkout Button","Hiển thị phương thức thanh toán trước nút thanh toán"
"Payment method information","Thông tin thanh toán"
"Payment method is not defined","Cách thanh toán chưa được định nghĩa"
"Payment methods in shopping cart","Cách thanh toán trên giỏ hàng"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","Đặt hàng"
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check billing address information.","Vui lòng kiểm tra thông tịn địa chỉ hóa đơn."
"Please check shipping address information.","Vui lòng kiểm tra thông tin địa chỉ giao hàng."
"Please check shipping addresses information.","Vui lòng kiểm tra thông tin những địa chỉ giao hàng."
"Please log in below:","Mời bạn đăng nhập:"
"Please select region, state or province","Mời bạn chọn Tỉnh/Tp"
"Please select shipping address for applicable items","Vui lòng chọn địa chỉ giao hàng cho các mặt hàng áp dụng"
"Please select shipping methods for all addresses","Xin vui lòng chọn phương thức giao hàng cho tất cả các địa chỉ"
"Please select valid payment method.","Please select valid payment method."
"Please specify payment method.","Bạn phải chọn phương thức thanh toán."
"Please specify shipping method.","Bạn phải chọn phương thức thanh toán."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Price","Giá"
"Proceed to Checkout","Tiến hành thanh toán"
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Products","Sản phẩm"
"Qty","Số lượng"
"Qty:","Số lượng:"
"Quantity was recalculated from %d to %d","Số lượng sản phẩm được tính lại kể từ ngày %d đến %d"
"Quote Lifetime (days)","Trích dẫn tồn tại trong (ngày)"
"Quote item does not exist.","Không có trích dẫn của sản phẩm."
"Quote item is not found.","Trích dẫn của sản phẩm không được tìm thấy."
"Recently added item(s)","Sản phẩm chờ thanh toán"
"Register","Đăng ký"
"Register and save time!","Đăng ký thành viên mang lại lợi ích!"
"Register to Create an Account","Tạo tài khoản mới"
"Create an Account", "Tạo tài khoản mới"
"Register with us for future convenience:","Bạn có thể chọn hình thức tài khoản thanh toán:"
"Remove Item","Xóa sản phẩm"
"Remove This Item","Xóa sản phẩm này"
"Remove coupon code from shopping cart","Không áp dụng coupon cho đơn hàng này"
"Remove item","Xóa sản phẩm"
"Remove product from shopping cart","Xóa sản phẩm khỏi giỏ hàng"
"Remove product(s) from shopping cart","Xóa sản phẩm khỏi giỏ hàng"
"Require Customer To Be Logged In To Checkout","Yêu cầu người dùng phải đăng nhập để được thanh toán"
"Retrieve information about shopping cart","Lấy thông tin của giỏi hàng"
"Review Order","Xem đơn hàng"
"Review Order - %s","Xem đơn hàng - %s"
"Sales","Bán hàng"
"Save Condition","Điều kiện lưu"
"Save in address book","Lưu địa chỉ lại"
"See price before order confirmation.","Hiển thị giá trước khi chấp nhận đơn hàng."
"Select Address","Chọn địa chỉ"
"Select Addresses","Chọn nhiều địa chỉ"
"Select Shipping Method","Chọn phương thức giao hàng"
"Select State/Province...","Chọn thành phố..."
"Select a billing address from your address book or enter a new address.","Hãy chọn một địa chỉ làm địa chỉ thanh toán."
"Select a shipping address from your address book or enter a new address.","Hãy chọn một địa chỉ làm địa chỉ nhận hàng."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Gửi Email thanh toán không thành công đến"
"Send To","Gửi đến"
"Separate by "","".","Ngăn cách bởi "",""."
"Set customer for shopping cart","Cài đặt giỏ hàng cho khách hàng"
"Set customer's addresses in shopping cart","Cài đặt địa chỉ khách hàng trong giỏ hàng"
"Set payment method","Cài đặt cách thanh toán"
"Set shipping method","Cài đặt cách giao hàng"
"Ship to Multiple Addresses","Chuyển hàng đến nhiều địa chỉ"
"Ship to different address","Nhận hàng ở địa chỉ khác"
"Ship to this address","Giao hàng ở địa chỉ này"
"Shipping Address","Địa chỉ nhận hàng"
"Shipping Information","Thông tin giao hàng"
"Shipping Method","Cách giao hàng"
"Shipping Methods","Cách giao hàng"
"Shipping To","Giao hàng tại"
"Shipping information","Thông tin giao hàng"
"Shipping method has not been selected yet","Chưa chọn cách giao hàng"
"Shipping methods in shopping cart","Cách giao hàng trong giỏ hàng"
"Shipping selection is not applicable.","Cách giao hàng đã lựa chọn không được áp dụng."
"Shopping Cart","Giỏ hàng"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","Giỏ hàng chưa có sản phẩm"
"Shopping cart ability to set coupon code","Giỏ hàng có khả năng sử dụng mã giảm giá"
"Show Content as","Hiển thị nội dung với"
"Some of the requested products are not available in the desired quantity.","Some of the requested products are not available in the desired quantity."
"Some of the requested products are unavailable.","Một vài yêu cầu sản phẩm không khả dụng."
"Some products quantities were recalculated because of quantity increment mismatch","Some products quantities were recalculated because of quantity increment mismatch"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Xin lỗi, chế độ thanh toán này chưa được kích hoạt. Vui lòng thử lại hoặc liên hệ với chủ cửa hàng."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Sorry, guest checkout is not enabled. Please try again or contact the store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Tỉnh/Tp"
"Status","Trạng thái"
"Store View","Cửa hàng"
"Street Address","Địa chỉ"
"Street Address %s","Địa chỉ %s"
"Submitting order information...","Đang xử lý thông tin..."
"Subtotal","Tổng cộng"
"Telephone","Điện thoại"
"Terms and Conditions","Điều khoản thanh toán"
"Terms and Conditions Information","Điều khoản thanh toán"
"Terms and conditions","Điều khoản thanh toán"
"Text","Chữ"
"Thank you for your purchase!","Cảm ơn bạn đã đặt hàng!"
"The condition has been deleted","Điều kiện đã được xóa"
"The condition has been saved.","Điều kiện đã được lưu lại."
"The onepage checkout is disabled.","Thanh toán trên một trang đã bị tắt."
"The product could not be found.","Không thể tìm thấy sản phẩm."
"The product does not exist.","Sản phẩm không tồn tại."
"There are <a href=""%s"">%s items</a> in your cart.","Hiện có <a href=""%s"">%s sản phẩm</a> trong giỏ hàng."
"There is <a href=""%s"">1 item</a> in your cart.","Hiện có <a href=""%s"">1 sản phẩm</a> trong giỏ hàng."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Có một khách hàng nào đó đã đăng ký sử dụng địa chỉ email này. Hãy đăng nhập bằng địa chỉ email này hoặc nhập một địa chỉ email khác để đăng ký tài khoản của bạn."
"There was an error processing your order. Please contact us or try again later.","Có lỗi trong khi xử lý đơn hàng của bạn. Hãy liện hệ với chúng tôi hoặc thử lại sau."
"This condition no longer exists.","Điều kiện này không còn tồn tại."
"Total","Tổng cộng"
"Total for this address","Tổng cộng cho địa chỉ này"
"Unable to set Payment Method.","Không thể cài đặt cách thanh toán."
"Unit Price","Đơn giá"
"Update Cart","Cập nhật giỏ hàng"
"Update Qty &amp; Addresses","Cập nhật số lượng &amp; địa chỉ"
"Update Shopping Cart","Cập nhật giỏ hàng"
"Update Total","Cập nhật tổng số"
"Update product quantities in shopping cart","Cập nhật số lượng sản phẩm trong giỏ hàng"
"Update product(s) quantities in shopping cart","Cập nhật số lượng sản phẩm trong giỏ hàng"
"Use Billing Address","Dùng địa chỉ thanh toán"
"VAT Number","Số VAT"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Chúng tôi đang xử lý đơn của bạn và bạn sẽ sớm nhận được một email với các chi tiết của đơn hàng. Một khi đơn hàng đã được giao hàng, bạn sẽ nhận được một email khác với một liên kết để theo dõi đơn hàng."
"What's this?","Xem chi tiết?"
"You have no items in your shopping cart.","Không có sản phẩm nào"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Chúng tôi sẽ xử lý đơn hàng này trong vòng 24 giờ làm việc, bạn vui lòng theo dõi trạng thái đơn hàng trong phần quản lý tài khoản của mình.."
"Your Checkout Progress","Các bước thanh toán"
"Your billing agreement # is: %s.","Thỏa thuận thanh toán của bạn # là: %s."
"Your order # is: %s.","Số đơn hàng: %s."
"Your order has been received","Bạn đã đặt hàng thành công"
"Your order has been received.","Bạn đã đặt hàng thành công."
"Your order number is ","Số đơn hàng "
"Your recurring payment profiles:","Hồ sơ thanh toán định kỳ của bạn:"
"Zip/Postal Code","Mã quốc gia"
"No Payment Information Required", "Không có cách thanh toán nào được đề nghị"
"Already registered? Please login here", "Bạn đã đăng ký tài khoản? Click vào đây để đăng nhập hệ thống"
"Order Comment", "Ghi chú đơn hàng như: Nơi nhận hàng, ngày giờ có thể nhận, ghi chú khác"
